Province/State,Country/Region,Lat,Long,Date,Cases_confirmed,Cases_deaths,Recovered,country_clean,Population,Daily Cases,Daily Deaths,Growth Rate,Death Rate,Recovery Rate,risk_score,cases_per_100k,Risk,7DMA
Unknown,Guinea-Bissau,11.8037,-15.1804,2020-05-10,726,3,26,Guinea-Bissau,2105529.0,85.0,0.0,0.13260530421216843,0.004132231404958678,0.03581267217630854,0.00034480645956431853,34.48064595643185,Medium,67.0
Unknown,Guyana,4.860416,-58.93018,2022-01-18,53178,1101,0,Guyana,821637.0,1083.0,5.0,0.020788943276706107,0.020704050547218775,0.0,0.06472201227549393,6472.201227549393,Critical,1024.7142857142858
Unknown,Haiti,18.9712,-72.2852,2020-06-07,2924,50,24,Haiti,11503606.0,284.0,0.0,0.10757575757575766,0.01709986320109439,0.008207934336525308,0.00025418116719227,25.418116719226997,Medium,191.42857142857142
Unknown,Holy See,41.9029,12.4534,2020-10-17,27,0,15,Holy See,,1.0,0.0,0.03846153846153855,0.0,0.5555555555555556,,,,2.142857142857143
Unknown,Honduras,15.2,-86.2419,2022-02-21,408456,10671,0,Honduras,10463872.0,3692.0,63.0,0.009121364548230648,0.02612521299723838,0.0,0.03903488116062582,3903.488116062582,High,2368.8571428571427
Unknown,Hungary,47.1625,19.5033,2022-01-31,1553405,41405,0,Hungary,9605074.0,45047.0,176.0,0.029864925965851663,0.026654349638375055,0.0,0.16172754108922013,16172.754108922014,Critical,16002.857142857143
Unknown,Iceland,64.9631,-19.0208,2022-02-25,123373,61,0,Iceland,382003.0,4689.0,0.0,0.03950827407232649,0.0004944355734236827,0.0,0.32296343222435425,32296.343222435426,Critical,3041.0
Unknown,India,20.593684,78.96288,2021-05-08,22296081,242347,18317364,India,1425423212.0,403405.0,4077.0,0.01842648198877095,0.010869488678301805,0.8215508366694577,0.015641727181302557,1564.1727181302558,High,391232.0
Unknown,Indonesia,-0.7893,113.9213,2022-02-20,5197505,146365,0,Indonesia,278830529.0,48484.0,163.0,0.009416158916423223,0.02816062707010383,0.0,0.018640372769224277,1864.0372769224277,High,55675.28571428572
Unknown,Iran,32.427908,53.688046,2021-08-17,4517243,99108,0,"Iran, Islamic Rep.",89524246.0,50228.0,625.0,0.011244197747265261,0.021939931059719392,0.0,0.050458319414385236,5045.831941438523,Critical,39795.28571428572
Unknown,Iraq,33.223191,43.679291,2021-08-02,1648727,18802,1480827,Iraq,44070551.0,12734.0,68.0,0.007783651886041021,0.011403949835236519,0.8981638561144447,0.03741108206248658,3741.1082062486576,High,11985.57142857143
Unknown,Ireland,53.1424,-7.6921,2022-01-09,978104,5952,0,Ireland,5212836.0,21384.0,0.0,0.022351367171168146,0.00608524246910349,0.0,0.1876337563660165,18763.37563660165,Critical,23752.0
Unknown,Israel,31.046051,34.851612,2022-01-25,2505466,8502,0,Israel,9557500.0,80643.0,21.0,0.03325727279888069,0.003393380712410386,0.0,0.2621465864504316,26214.65864504316,Critical,101905.14285714286
Unknown,Italy,41.87194,12.56738,2022-01-14,8356514,140548,0,Italy,59013667.0,200869.0,360.0,0.024629443777898663,0.016818974993639692,0.0,0.14160302900682312,14160.30290068231,Critical,181821.7142857143
Unknown,Jamaica,18.1096,-77.2975,2022-01-17,113438,2536,0,Jamaica,2839144.0,1220.0,6.0,0.010871696162825906,0.022355824326945117,0.0,0.03995500052128388,3995.5000521283882,High,1425.7142857142858
Unknown,Japan,36.204824,138.252924,2022-08-24,17797923,37952,0,Japan,125124989.0,243490.0,301.0,0.013870570470718047,0.0021323836494853924,0.0,0.1422411553618598,14224.11553618598,Critical,226955.0
Unknown,Jordan,31.24,36.51,2022-02-14,1490473,13532,0,Jordan,11256263.0,22113.0,24.0,0.015059658394399156,0.009078997070057626,0.0,0.1324127732267805,13241.27732267805,Critical,19820.0
Unknown,Kazakhstan,48.0196,66.9237,2021-07-26,602397,9077,506116,Kazakhstan,20034609.0,6820.0,0.0,0.011451080212969922,0.015068136129495997,0.8401701867705185,0.030067819142365095,3006.7819142365092,High,16323.142857142857
Unknown,Kenya,-0.0236,37.9062,2021-12-27,284150,5364,0,Kenya,54252461.0,1596.0,3.0,0.0056484778130905244,0.018877353510469822,0.0,0.005237550421906206,523.7550421906205,High,2774.714285714286
Unknown,Kiribati,-3.3704,-168.734,2023-01-10,4921,17,0,Kiribati,130469.0,1491.0,4.0,0.4346938775510205,0.003454582401950823,0.0,0.037717772037802084,3771.7772037802083,High,213.0
Unknown,"Korea, North",40.3399,127.5101,2022-05-14,1,6,0,"Korea, Dem. People's Rep.",26328845.0,1.0,6.0,0.0,6.0,0.0,3.798115716811733e-08,0.0037981157168117327,Low,0.14285714285714285
Unknown,"Korea, South",35.907757,127.766922,2022-03-17,8657609,11782,0,"Korea, Rep.",51672569.0,407017.0,301.0,0.04933185400514284,0.0013608838190775304,0.0,0.16754748539791006,16754.748539791006,Critical,404997.5714285714
Unknown,Kosovo,42.602636,20.902977,2022-01-29,201955,3012,0,Kosovo,1768096.0,3628.0,0.0,0.018293021121682962,0.014914213562427274,0.0,0.11422173909109008,11422.173909109008,Critical,3352.285714285714
Unknown,Kuwait,29.31166,47.481766,2022-02-02,558745,2501,0,Kuwait,4589643.0,6592.0,2.0,0.011938719883800353,0.00447610269443127,0.0,0.12174040551737902,12174.040551737902,Critical,6274.142857142857
Unknown,Kyrgyzstan,41.20438,74.766098,2020-07-23,31247,1211,18038,Kyrgyz Republic,6975220.0,2267.0,100.0,0.07822636300897168,0.03875572054917272,0.5772714180561334,0.004479715335143551,447.97153351435514,High,2678.4285714285716
Unknown,Laos,19.85627,102.495496,2022-04-02,181967,673,0,Lao PDR,7559007.0,2404.0,4.0,0.013388058787166646,0.0036984728000131893,0.0,0.024072870947202455,2407.2870947202455,High,2555.5714285714284
Unknown,Latvia,56.8796,24.6032,2022-02-14,522766,5029,0,Latvia,1879383.0,4144.0,5.0,0.007990405343390794,0.009619982936916327,0.0,0.2781583104667862,27815.831046678617,Critical,9859.285714285714
Unknown,Lebanon,33.8547,35.8623,2022-02-05,965627,9694,0,Lebanon,5744489.0,8472.0,19.0,0.008851230991845593,0.010039073058230558,0.0,0.16809623971775384,16809.623971775385,Critical,8257.57142857143
Unknown,Lesotho,-29.61,28.2336,2021-10-07,21433,651,0,Lesotho,2286110.0,10.0,1.0,0.0004667880315549766,0.030373722763962115,0.0,0.009375314398694726,937.5314398694726,High,1005.4285714285714
Unknown,Liberia,6.428055,-9.429499,2021-07-06,4918,134,2464,Liberia,5373294.0,398.0,1.0,0.08805309734513278,0.027246848312322082,0.5010166734444896,0.0009152672457527915,91.52672457527915,Medium,160.57142857142858
Unknown,Libya,26.3351,17.228331,2022-02-04,445876,6052,0,Libya,7223805.0,3917.0,8.0,0.008862813066370379,0.013573280463626658,0.0,0.061723150057345126,6172.315005734513,Critical,3761.8571428571427
Unknown,Liechtenstein,47.14,9.55,2022-03-17,14926,81,0,Liechtenstein,39493.0,284.0,0.0,0.019396257341893097,0.005426772075572826,0.0,0.3779403945002912,37794.03945002912,Critical,190.85714285714286
Unknown,Lithuania,55.1694,23.8813,2022-02-05,775255,7974,0,Lithuania,2831639.0,14722.0,18.0,0.019357476927365447,0.010285647948094497,0.0,0.27378313407888505,27378.313407888505,Critical,12701.142857142857
Unknown,Luxembourg,49.8153,6.1296,2022-01-26,147854,946,0,Luxembourg,653103.0,3073.0,1.0,0.021225160760044437,0.0063982036333139446,0.0,0.22638695580942056,22638.695580942054,Critical,2315.714285714286
Unknown,Madagascar,-18.766947,46.869107,2021-04-20,33202,563,26291,Madagascar,30437261.0,404.0,11.0,0.01231782425757677,0.01695680983073309,0.7918498885609301,0.0010908340274113364,109.08340274113364,Medium,633.8571428571429
Unknown,Malawi,-13.2543,34.3015,2021-01-25,19987,518,6780,Malawi,20568728.0,592.0,10.0,0.03052333075534941,0.025916845949867415,0.3392204933206584,0.0009717178427367993,97.17178427367993,Medium,994.2857142857143
Unknown,Malaysia,4.210484,101.975766,2022-03-09,3711199,33497,0,Malaysia,34695493.0,30246.0,113.0,0.008216893831570315,0.009025923966890484,0.0,0.10696487293032556,10696.487293032556,Critical,30729.85714285714
Unknown,Maldives,3.2028,73.2207,2022-01-31,138880,276,0,Maldives,524106.0,2754.0,1.0,0.020231256336041614,0.001987327188940092,0.0,0.26498456419121325,26498.456419121325,Critical,2673.1428571428573
Unknown,Mali,17.570692,-3.996166,2022-01-15,28321,688,0,Mali,23072640.0,341.0,5.0,0.01218727662616148,0.024292927509621837,0.0,0.0012274711519791406,122.74711519791406,Medium,620.1428571428571
Unknown,Malta,35.9375,14.3754,2022-01-02,54250,479,0,Malta,531113.0,747.0,2.0,0.013961833915855149,0.008829493087557604,0.0,0.10214398819083698,10214.398819083697,Critical,1142.857142857143
Unknown,Marshall Islands,7.1315,171.1845,2022-08-20,9912,14,0,Marshall Islands,40077.0,835.0,1.0,0.09199074584113687,0.0014124293785310734,0.0,0.24732390148963246,24732.390148963244,Critical,1318.7142857142858
Unknown,Mauritania,21.0079,-10.9408,2022-01-11,50702,891,0,Mauritania,4875637.0,1029.0,3.0,0.020715479234191703,0.017573271271350242,0.0,0.010399051447021178,1039.905144702118,High,1029.2857142857142
Unknown,Mauritius,-20.348404,57.552152,2022-01-31,105935,822,0,Mauritius,1262523.0,1133.0,0.0,0.010810862388122455,0.007759475149856043,0.0,0.0839073822813525,8390.73822813525,Critical,5102.428571428572
Unknown,Mexico,23.6345,-102.5528,2022-01-25,4730669,303776,0,Mexico,128613117.0,44902.0,475.0,0.00958263609778287,0.06421417351330225,0.0,0.03678216585015975,3678.2165850159745,High,49322.0
Unknown,Micronesia,7.4256,150.5508,2022-10-07,20833,49,0,"Micronesia, Fed. Sts.",112114.0,1976.0,3.0,0.1047886726414593,0.0023520376326021217,0.0,0.18581979057031237,18581.979057031236,Critical,1431.2857142857142
Unknown,Moldova,47.4116,28.3699,2022-01-29,438249,10635,0,Moldova,2528654.0,3700.0,14.0,0.008514574881083536,0.024267026279580786,0.0,0.17331315395463356,17331.315395463356,Critical,4463.714285714285
Unknown,Monaco,43.7333,7.4167,2022-01-11,6165,44,0,Monaco,38931.0,78.0,2.0,0.012814194184327166,0.0071370640713706406,0.0,0.1583570933189489,15835.70933189489,Critical,168.57142857142858
Unknown,Mongolia,46.8625,103.8467,2022-01-27,819857,2029,0,Mongolia,3433748.0,7768.0,2.0,0.009565454032747667,0.0024748218286847583,0.0,0.23876446378709212,23876.446378709214,Critical,8431.857142857143
Unknown,Montenegro,42.708678,19.37439,2022-01-10,192171,2448,0,Montenegro,623591.0,1892.0,6.0,0.009943293794901109,0.012738654635715066,0.0,0.30816833469373356,30816.833469373356,Critical,2472.285714285714
Unknown,Morocco,31.7917,-7.0926,2021-08-10,711103,10509,0,Morocco,37329064.0,9778.0,105.0,0.013942180871921117,0.014778449816693223,0.0,0.019049580241283306,1904.9580241283306,High,9774.285714285714
Unknown,Namibia,-22.9576,18.4904,2021-06-30,89917,1521,67330,Namibia,2889662.0,3268.0,76.0,0.03771538044293643,0.016915599942168888,0.7488016726536695,0.031116788053412475,3111.6788053412474,High,1797.7142857142858
Unknown,Nauru,-0.5228,166.9315,2022-07-02,3571,1,0,Nauru,11801.0,177.0,1.0,0.05215085444902767,0.0002800336040324839,0.0,0.3026014744513177,30260.14744513177,Critical,385.2857142857143
Unknown,Nepal,28.1667,84.25,2021-05-12,422349,4252,316463,Nepal,29715436.0,9238.0,168.0,0.022362028607323392,0.010067503415421843,0.7492926466026911,0.014213118057564426,1421.3118057564425,High,8962.714285714286
Unknown,Netherlands,52.1326,5.2913,2023-03-08,8599981,22990,0,Netherlands,17700982.0,8588961.0,22899.0,779.3975499092559,0.002673261719996823,0.0,0.4858476778293995,48584.767782939954,Critical,2458872.0
Unknown,New Zealand,-40.9006,174.886,2023-03-07,2228291,2548,0,New Zealand,5081700.0,2227500.0,2548.0,2816.055625790139,0.001143477220883628,0.0,0.43849322077257613,43849.32207725761,Critical,954643.0
